,dsnum,taskname
229,ds001461,rest
230,ds001486,Rhyming Judgement
231,ds001486,Single-Digit Subtraction
232,ds001486,Numerosity Judgement
233,ds001486,Single-Digit Multiplication
234,ds001491,task-FlavorRun3
235,ds001491,task-FlavorRun2
236,ds001491,task-images
237,ds001491,task-FlavorRun1
238,ds001491,task-FlavorRun4
239,ds001497,LTM
240,ds001499,Scene Localizer
241,ds001499,5000scenes
242,ds001506,imagery
243,ds001506,perception
244,ds001510,perception
245,ds001511,scrambled
246,ds001511,CMIYC
247,ds001517,Shape only
248,ds001517,Prediction audio cue
249,ds001521,Study-Test
250,ds001521,Localizer
251,ds001525,Repetition
252,ds001525,Localizer
253,ds001534,foodimage
254,ds001545,movie watching
255,ds001547,imagery
256,ds001551,trust
257,ds001554,listening
258,ds001566,Resting state fMRI
259,ds001576,Learning task
260,ds001576,DNMS
261,ds001590,sim
262,ds001591,rest
263,ds001595,rest
264,ds001597,cuedMFM
265,ds001600,rest
266,ds001607,Test
267,ds001607,Learning task
268,ds001607,Funcational localizer
269,ds001608,viewclips
270,ds001612,Funcational localizer
271,ds001612,Main task
272,ds001614,Sequence Learning
273,ds001614,Response Training
274,ds001614,Funcational localizer
275,ds001614,Cued Inference task
276,ds001618,Self/Other reflection
277,ds001618,N-back
278,ds001618,Autobiographical memory
279,ds001621,commstruc
280,ds001634,ep2d_bold_WorkingMemory_order1_run2 
281,ds001634,ep2d_bold_WorkingMemory_Run1
282,ds001634,ep2d_bold_WorkingMemory_Order3
283,ds001634,ep2d_bold_WorkingMemory_Order2
284,ds001634,ep2d_bold_WorkingMemory_order3
285,ds001634,ep2d_bold_WorkingMemory_order1_run1 
286,ds001634,ep2d_bold_WorkingMemory_order2
287,ds001634,ep2d_bold_WorkingMemory_Order1
288,ds001634,ep2d_bold_WorkingMemory_order1_run3 
289,ds001634,ep2d_bold_WorkingMemory_Run2
290,ds001634,ep2d_bold_WorkingMemory_order1
291,ds001634,ep2d_bold_WorkingMemory_Run3
292,ds001635,ep2d_bold_MemoryAndManiupulate_2_take2
293,ds001635,ep2d_bold_MemoryAndManiupulate_1
294,ds001635,ep2d_bold_MemoryAndManiupulate_2
295,ds001635,ep2d_bold_MemoryAndManiupulate_Run2 
296,ds001635,ep2d_bold_MemoryAndManiupulate_3
297,ds001635,ep2d_bold_MemoryAndManiupulate_Run1 
298,ds001635,ep2d_bold_MemoryAndManiupulate_Run3 
299,ds001635,ep2d_bold_MemoryAndManiupulate_1_take2
300,ds001652,Ironia VEV
301,ds001715,Decision-making task
302,ds001722,tom
303,ds001725,rest
304,ds001728,rest
305,ds001734,MGT
306,ds001740,convers
307,ds001745,Study-Test
308,ds001745,Image localizer
309,ds001745,Word localizer
310,ds001747,rest
311,ds001748,semantic
312,ds001748,autobio
313,ds001748,episodic
314,ds001751,flanker
315,ds001761,faces
316,ds001761,loc
317,ds001762,Foraging task
318,ds001769,movie
319,ds001771,localizer
320,ds001771,rest
321,ds001771,identification
322,ds001775,study phase
323,ds001775,retrieval-practice/restudy phase
324,ds001785,tactile detection
325,ds001787,meditation
326,ds001810,Attentional blink
327,ds001814,ARC
328,ds001818,localizer
329,ds001818,probe
330,ds001818,responsetostim
331,ds001818,training
332,ds001832,Rest
333,ds001839,stand15
334,ds001839,stand30
335,ds001839,rest30
336,ds001839,step15
337,ds001839,step30
338,ds001839,rest15
339,ds001840,viewclips
340,ds001847,Photographs task
341,ds001849,tmseegrest
342,ds001875,rest
343,ds001882,SocialIntertemporalChoice
344,ds001883,SocialRiskyChoice
345,ds001894,Audio-Audio Word Rhyming
346,ds001894,Visual-Visual Word Rhyming
347,ds001894,Audio-Visual Non-Word Rhyming
348,ds001894,Audio-Visual Word Rhyming
349,ds001894,Audio-Audio Non-Word Rhyming
350,ds001894,Visual-Visual Non-Word Rhyming
351,ds001907,ANT
352,ds001912,task-MTMST
353,ds001912,task-MID
354,ds001921,forage-engage decision task
355,ds001923,forage-engage decision task
356,ds001926,Test Phase
357,ds001926,Localizer
358,ds001926,Post Test Phase
359,ds001926,Study Phase
360,ds001927,Rest Pre
361,ds001927,Rest Post
362,ds001928,pre-music
363,ds001928,pre-control
364,ds001928,post-control
365,ds001928,post-music
366,ds001946,cue-action-outcome
